system:index,LST_C,NDVI,.geo
220,34.95199495999998,0.05424645,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,36.11070374000002,0.31402242,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,30.76321145000003,0.33250445,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,33.96760519999998,0.3643168,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,35.24594467999998,0.342806,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,35.45786192000003,0.21644352,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,35.37924745999999,0.35937345,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,34.26497294000001,0.24064906,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,34.32649730000003,0.2781549,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,30.08131646000004,0.28560704,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,36.606316640000045,0.36530122,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,30.959747600000014,0.34842578,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,29.119143830000013,0.3354797,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,31.544229020000017,0.36653838,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,36.3943994,0.29916647,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,32.17143569000004,0.30372682,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,29.58912158000001,-0.023634026,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,31.460487530000023,0.065641835,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,35.037445460000015,0.13094063,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,35.38950152000001,0.26856843,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,35.42709974000002,0.3337094,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,36.78405368,0.30437264,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,37.70862808999999,0.28582472,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,38.496481700000004,0.25796846,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,37.966688600000055,0.39489478,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,38.74257914000003,0.42039526,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,38.81093954000005,0.34885246,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,35.871442340000044,0.38168922,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,36.838742000000025,0.32688507,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,34.087235899999996,0.34312734,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,34.083817880000026,0.36087492,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,35.37924745999999,0.33515134,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,33.21564080000002,0.26371938,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,33.27716515999998,0.30117038,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,33.79670420000002,0.29334682,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,36.756709520000015,0.33851907,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,32.610651260000054,0.3502385,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,34.47005414000003,0.37675247,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,35.58091064000001,0.36481488,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,37.879529090000005,0.32747415,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,36.32262098000001,0.13459268,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,37.06091330000004,0.38184312,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,32.77129820000002,0.31195563,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,36.12779383999998,0.38103047,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,35.19125636000001,0.35755855,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,36.134629880000034,0.34316546,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,33.50617250000005,0.06575496,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,33.50617250000005,0.07154458,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,36.872922200000005,0.2760179,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,31.233189200000027,0.3443312,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,38.01454088000003,0.12339546,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,28.53466241000001,-0.014152859,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,26.335166540000046,0.05771058,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,28.081774760000002,-0.0010365662,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,29.56348643000001,-0.053504452,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,30.117205670000033,-0.072104864,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,38.71523497999999,0.29334193,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,25.97456543000004,0.08583631,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,25.972856420000028,0.2772875,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,34.8221102,0.23525564,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,33.80695825999999,0.30584744,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,36.79430774000002,0.41744477,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,37.06091330000004,0.36410818,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,31.928756270000008,0.27873906,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,32.04325994000004,0.3508843,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,35.110932890000015,0.30555263,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,35.71763143999999,0.36412862,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,33.40704992000002,0.36098042,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,32.96270732000005,0.21904421,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,36.48326792,0.3204976,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,34.89559763,0.32487455,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,34.12141610000003,0.30664408,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,28.53466241000001,-0.014152859,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,28.75512470000001,0.14205919,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,28.779050840000025,-0.0665044,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,37.348026980000014,0.30621102,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,38.72890705999998,0.28048825,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,26.220662870000012,0.1738665,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,27.707501570000005,0.2257784,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,27.158909360000024,0.24448596,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,30.751248379999993,0.32245716,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,32.86016672000005,0.28666213,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,37.99403275999998,0.32445934,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,36.52428415999998,0.2241069,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,38.506735760000026,0.34100512,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,36.79259873000001,0.41362846,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,37.33606391000001,0.31848997,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,32.40044303000002,0.37386194,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,33.37116071,0.3562,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,33.37116071,0.3564284,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,33.40704992000002,0.34993255,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,29.284917800000017,0.19097275,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,34.432455919999995,0.35843045,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,33.92658896000003,0.34023616,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,34.022293520000005,0.23226945,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,32.627741360000016,0.045851726,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,26.15572049000002,0.1937265,"{""type"":""MultiPoint"",""coordinates"":[]}"
